Linha,Processo,Nome_Proponente,Instituicao,Nota_Final,Comite,Area_Conhecimento,Parecer_Comite,Resultado_Final,Valor_Aprovado
1,441295/2026-6,LUIS RICARDO SILVA QUEIROZ Universidade Federal da Paraíba,,"9,00",AC,Artes,Recomendada,Aprovada,"R$ 45.866,00"
1,440461/2026-0,CLAUDIA LAGO Universidade de São Paulo,,"9,94",AC,Comunicação,Recomendada,Aprovada,"R$ 40.000,00"
1,460236/2025-3,THIAGO HENRIQUE BRAGATO BARROS Universidade Federal do Rio Grande do Sul,,"9,89",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 20.000,00"
1,441050/2026-3,WILSON APARECIDO COSTA DE AMORIM Universidade de São Paulo,,"8,50",AE,Administração,Recomendada,Aprovada,"R$ 10.815,00"
1,441094/2026-0,JOSIVANIA SILVA FARIAS Universidade de Brasília,,"8,89",AE,Administração,Recomendada,Aprovada,"R$ 26.000,00"
1,440490/2026-0,VALTER CARVALHO DE ANDRADE JUNIOR Universidade Federal de Lavras,,"9,44",AG,Agronomia,Recomendada,Aprovada,"R$ 30.000,00"
1,440822/2026-2,LEO RUFATO Universidade do Estado de Santa Catarina,,"9,11",AG,Agronomia,Recomendada,Aprovada,"R$ 30.000,00"
1,441303/2026-9,ADALBERTO LUIS VAL Instituto Nacional de Pesquisas da Amazônia,,"10,00",AQ,Recursos Pesqueiros e Engenharia de Pesca,Recomendada,Aprovada,"R$ 50.000,00"
1,440904/2026-9,LINDOMAR JOSE PENA Fundação Oswaldo Cruz,,"9,82",BI,Biotecnologia,Recomendada,Aprovada,"R$ 60.000,00"
1,440218/2026-8,ROGER KREUTZ IMMICH Universidade Federal do Rio Grande do Norte,,"9,00",CC,Ciência da Computação,Recomendada,Aprovada,"R$ 10.000,00"
1,441102/2026-3,DEBORA CHRISTINA MUCHALUAT SAADE Universidade Federal Fluminense,,"9,89",CC,Ciência da Computação,Recomendada,Aprovada,"R$ 15.000,00"
1,440995/2026-4,IVAN CESAR RIBEIRO Universidade Federal de São Paulo,,"9,33",CS,Direito,Recomendada,Aprovada,"R$ 18.000,00"
1,440083/2026-5,PAULO ANDRE NIEDERLE Universidade Federal do Rio Grande do Sul,,"8,89",CS,Sociologia,Recomendada,Aprovada,"R$ 30.000,00"
1,440808/2026-0,HOLMER SAVASTANO JUNIOR Universidade de São Paulo,,"9,94",EC,Engenharia Civil,Recomendada,Aprovada,"R$ 30.000,00"
1,440163/2026-9,CAMILO ARTURO RODRIGUEZ DIAZ Universidade Federal do Espírito Santo,,"8,22",EE,Engenharia Elétrica,Recomendada,Aprovada,"R$ 29.000,00"
1,440475/2026-0,CARLOS EDUARDO PANTOJA Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,,"8,11",EE,"Robótica, Mecatrônica e Automação",Recomendada,Aprovada,"R$ 25.000,00"
1,440987/2026-1,LEANDRO BUSS BECKER Universidade Federal de Santa Catarina,,"8,56",EE,"Robótica, Mecatrônica e Automação",Recomendada,Aprovada,"R$ 31.000,00"
1,440704/2026-0,CRISTIANO AKAMINE Universidade Presbiteriana Mackenzie,,"7,00",EE,Engenharia Elétrica,Recomendada,Aprovada,"R$ 25.000,00"
1,440811/2026-0,JOSE LUIS GUEDES DOS SANTOS Universidade Federal de Santa Catarina,,"9,44",EF,Enfermagem,Recomendada,Aprovada,"R$ 30.000,00"
1,440780/2026-8,JOAO VITOR CAMPOS E SILVA Instituto Juruá,,"7,78",EL,Ecologia,Recomendada,Aprovada,"R$ 10.500,00"
1,440813/2026-3,RAMIRO GUSTAVO RAMIREZ CAMACHO Universidade Federal da Integração Latino-Americana,,"9,40",EM,Engenharia Mecânica,Recomendada,Aprovada,"R$ 7.250,00"
1,440399/2026-2,JOSE DANIEL BIASOLI DE MELLO SOCIEDADE BRASILEIRA DE PESQUISA EM MATERIAIS SBPMAT,,"9,60",EM,Engenharia Mecânica,Recomendada,Aprovada,"R$ 14.500,00"
1,440176/2026-3,EMILIO CARLOS NELLI SILVA Universidade de São Paulo,,"10,00",EM,Engenharia Mecânica,Recomendada,Aprovada,"R$ 29.000,00"
1,440563/2026-7,LUIS GONZAGA TRABASSO SENAI - Departamento Regional de Minas Gerais,,"9,50",EM,Engenharia Mecânica,Recomendada,Aprovada,"R$ 7.250,00"
1,440287/2026-0,HENRIQUE SIMAS Universidade Federal de Santa Catarina,,"9,99",EM,Engenharia Mecânica,Recomendada,Aprovada,"R$ 29.000,00"
1,440371/2026-0,HELCIO RANGEL BARRETO ORLANDE Universidade Federal do Rio de Janeiro,,"9,70",EM,Engenharia Mecânica,Recomendada,Aprovada,"R$ 7.250,00"
1,441255/2026-4,REGIO DOS SANTOS GOMES COMISSAO NACIONAL DE ENERGIA NUCLEAR,,"9,72",EN,Engenharia Nuclear,Recomendada,Aprovada,"R$ 30.000,00"
1,440663/2026-1,HAROLDO DE ARAUJO PONTE Universidade Federal do Paraná,,"7,78",EQ,Engenharia Química,Recomendada,Aprovada,"R$ 8.000,00"
1,440946/2026-3,TIAGO DEBARBA Universidade Federal do Rio Grande do Norte,,"8,72",FA,Física,Recomendada,Aprovada,"R$ 15.000,00"
1,440866/2026-0,ROGERIO ROSENFELD Universidade Estadual Paulista Júlio de Mesquita Filho,,"10,00",FA,Física,Recomendada,Aprovada,"R$ 60.000,00"
1,440030/2026-9,MAURO LUCIANO BAESSO Universidade Estadual de Maringá,,"9,11",FA,Física,Recomendada,Aprovada,"R$ 25.000,00"
1,441150/2026-8,MIRIAN LIZA ALVES FORANCELLI PACHECO Universidade Federal de São Carlos,,"9,00",GC,Geociências,Recomendada,Aprovada,"R$ 35.945,65"
1,440245/2026-5,GIORGIO BASILICI Universidade Estadual de Campinas,,"8,89",GC,Geociências,Recomendada,Aprovada,"R$ 17.972,83"
1,440655/2026-9,ALINE FREDERICO Universidade de São Paulo,,"8,89",LL,Letras,Recomendada,Aprovada,"R$ 20.800,00"
1,440398/2026-6,PLINIO ALMEIDA BARBOSA Universidade Estadual de Campinas,,"9,78",LL,Lingüística,Recomendada,Aprovada,"R$ 130.000,00"
1,440149/2026-6,PAULO SERGIO MARQUES DOS SANTOS UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,,"9,61",MA,Matemática,Recomendada,Aprovada,"R$ 25.000,00"
1,440026/2026-1,HELENA MARIA MARCOLLA ARAUJO Universidade Federal do Rio de Janeiro,,"8,94",MF,Morfologia,Recomendada,Aprovada,"R$ 10.000,00"
1,440901/2026-0,MARCELO TEIXEIRA DOS SANTOS SENAI - Departamento Regional de Santa Catarina,,"8,11",MM,Engenharia de Materiais e Metalúrgica,Recomendada,Aprovada,"R$ 20.000,00"
1,440344/2026-3,DANIELA BECKER Universidade do Estado de Santa Catarina,,"9,72",MM,Engenharia de Materiais e Metalúrgica,Recomendada,Aprovada,"R$ 35.000,00"
1,440520/2026-6,ELIANE DE OLIVEIRA FERREIRA Universidade Federal do Rio de Janeiro,,"10,00",MP,Microbiologia,Recomendada,Aprovada,"R$ 35.000,00"
1,440815/2026-6,RONALDO VALDIR BRIANI Universidade Estadual Paulista Júlio de Mesquita Filho,,"8,39",MS,Fisioterapia e Terapia Ocupacional,Recomendada,Aprovada,"R$ 20.000,00"
1,440442/2026-5,VIVIAN PETERSEN WAGNER Universidade de São Paulo,,"10,00",OD,Odontologia,Recomendada,Aprovada,"R$ 50.000,00"
1,440499/2026-7,ANTONIO CARLOS BENDER BURTOLOSO Universidade de São Paulo,,"9,80",QU,Química,Recomendada,Aprovada,"R$ 18.000,00"
1,460120/2025-5,FERNANDO DE CARVALHO DA SILVA Universidade Federal Fluminense,,"10,00",QU,Química,Recomendada,Aprovada,"R$ 24.000,00"
1,440338/2026-3,HUBER RIZZO Universidade Federal Rural de Pernambuco,,"9,28",VT,Medicina Veterinária,Recomendada,Aprovada,"R$ 15.000,00"
1,440957/2026-5,ALEXANDRE REIS PERCEQUILLO Universidade de São Paulo,,"9,67",ZO,Zoologia,Recomendada,Aprovada,"R$ 57.600,00"
2,440983/2026-6,ELIANE SILVEIRA GONCALVES Universidade Federal do Amazonas,,"9,22",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 13.500,00"
2,440858/2026-7,JANICE MARTINS SITYA APPEL Universidade Federal do Rio Grande,,"9,06",AC,Artes,Recomendada,Aprovada,"R$ 50.229,00"
2,460019/2025-2,SUZETE VENTURELLI,,"8,06",AC,Artes,Recomendada,Aprovada,"R$ 10.000,00"
2,441271/2026-0,MARIA MARY FERREIRA Universidade Federal do Maranhão,,"8,28",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 10.000,00"
2,440207/2026-6,MARIANNA ZATTAR BARRA RIBEIRO Fundação Oswaldo Cruz,,"8,00",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 8.000,00"
2,440556/2026-0,IVANA APARECIDA BORGES LINS Universidade Federal da Bahia,,"9,33",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 13.500,00"
2,460146/2025-4,ADIL GIOVANNI LEPRI Universidade Federal da Bahia,,"9,49",AC,Comunicação,Recomendada,Aprovada,"R$ 30.000,00"
2,440395/2026-7,KATYA SOUZA GUALTER Associação Nacional de Pesquisadores em Dança,,"9,11",AC,Artes,Recomendada,Aprovada,"R$ 39.905,00"
2,441251/2026-9,MARIA REGINA EMERY QUITES Universidade Federal do Espírito Santo,,"7,28",AC,Artes,Recomendada,Aprovada,"R$ 8.000,00"
2,441232/2026-4,MAGNO MORAES MELLO Universidade Federal de Minas Gerais,,"7,33",AC,Artes,Recomendada,Aprovada,"R$ 8.000,00"
2,440177/2026-0,LUIZ SERGIO DA CRUZ DE OLIVEIRA Universidade Federal Fluminense,,"8,44",AC,Artes,Recomendada,Aprovada,"R$ 10.000,00"
2,440300/2026-6,ELINALDO DA SILVA MEIRA Universidade Federal de Goiás,,"8,39",AC,Artes,Recomendada,Aprovada,"R$ 10.000,00"
2,440479/2026-6,PEDRO AGUIAR Universidade Federal Fluminense,,"9,47",AC,Comunicação,Recomendada,Aprovada,"R$ 29.000,00"
2,440391/2026-1,ROGERIO CHRISTOFOLETTI Universidade Federal de Santa Catarina,,"9,78",AC,Comunicação,Recomendada,Aprovada,"R$ 30.000,00"
2,440856/2026-4,PAULA CARINA DE ARAUJO Universidade Federal do Paraná,,"9,39",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 14.500,00"
2,440528/2026-7,CRISTINA ROLIM WOLFFENBUTTEL Universidade Estadual do Rio Grande do Sul,,"8,33",AC,Artes,Recomendada,Aprovada,"R$ 8.000,00"
2,441238/2026-2,TAINA MARIA MAGALHAES FACANHA Universidade do Estado do Pará,,"7,56",AC,Artes,Recomendada,Aprovada,"R$ 8.000,00"
2,441116/2026-4,MARIO ANDRE WANDERLEY OLIVEIRA Universidade Federal de Sergipe,,"7,78",AC,Artes,Recomendada,Aprovada,"R$ 8.000,00"
2,441007/2026-0,VANILDO MOUSINHO MARINHO Associação Nacional de Pesquisa e Pós-Graduação em Música,,"9,94",AC,Artes,Recomendada,Aprovada,"R$ 55.000,00"
2,441131/2026-3,MARIA LUIZA SANTOS BARBOSA Universidade Federal de Sergipe,,"7,22",AC,Artes,Recomendada,Aprovada,"R$ 8.000,00"
2,440751/2026-8,ANA GUIOMAR REGO SOUZA Universidade Federal de Goiás,,"8,44",AC,Artes,Recomendada,Aprovada,"R$ 10.000,00"
2,440445/2026-4,RODRIGO MORENO MARQUES Universidade Federal de Minas Gerais,,"9,86",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 14.500,00"
2,441214/2026-6,VIRGINIA BENTES PINTO Universidade Federal do Ceará,,"8,50",AC,Ciência da Informação,Recomendada,Aprovada,"R$ 11.500,00"
2,440134/2026-9,RENATO FERRACINI Universidade Estadual de Campinas,,"8,78",AC,Artes,Recomendada,Aprovada,"R$ 18.000,00"
2,440875/2026-9,CARLOS ALBERTO FERREIRA DA SILVA Universidade Federal de Sergipe,,"8,67",AC,Artes,Recomendada,Aprovada,"R$ 18.000,00"
